Pclass,Sex,SibSp,Parch,Fare,Age_wiki,Boarded,Marriage_status,Rank,Nobility,Youth,Survived
3,male,1,0,7.25,22.0,2.0,No,No,No,No,No
1,female,1,0,71.2833,35.0,3.0,Yes,No,No,No,Yes
3,female,0,0,7.925,26.0,2.0,No,No,No,No,Yes
1,female,1,0,53.1,35.0,2.0,Yes,No,No,No,Yes
3,male,0,0,8.05,35.0,2.0,No,No,No,No,No
3,male,0,0,8.4583,22.0,1.0,No,No,No,No,No
1,male,0,0,51.8625,54.0,2.0,No,No,No,No,No
3,male,3,1,21.075,2.0,2.0,No,No,No,Yes,No
3,female,0,2,11.1333,26.0,2.0,Yes,No,No,No,Yes
2,female,1,0,30.0708,14.0,3.0,Yes,No,No,Yes,Yes
3,female,1,1,16.7,4.0,2.0,No,No,No,Yes,Yes
1,female,0,0,26.55,61.0,2.0,No,No,No,No,Yes
3,male,0,0,8.05,19.0,2.0,No,No,No,No,No
3,male,1,5,31.275,39.0,2.0,No,No,No,No,No
3,female,0,0,7.8542,14.0,2.0,No,No,No,Yes,No
2,female,0,0,16.0,56.0,2.0,Yes,No,No,No,Yes
3,male,4,1,29.125,2.0,1.0,No,No,No,Yes,No
2,male,0,0,13.0,23.0,2.0,No,No,No,No,Yes
3,female,1,0,18.0,31.0,2.0,Yes,No,No,No,No
3,female,0,0,7.225,22.0,3.0,Yes,No,No,No,Yes
2,male,0,0,26.0,35.0,2.0,No,No,No,No,No
2,male,0,0,13.0,34.0,2.0,No,No,No,No,Yes
3,female,0,0,8.0292,16.0,1.0,No,No,No,Yes,Yes
1,male,0,0,35.5,28.0,2.0,No,No,No,No,Yes
3,female,3,1,21.075,8.0,2.0,No,No,No,Yes,No
3,female,1,5,31.3875,38.0,2.0,Yes,No,No,No,Yes
3,male,0,0,7.225,25.0,3.0,No,No,No,No,No
1,male,3,2,263.0,19.0,2.0,No,No,No,No,No
3,female,0,0,7.8792,25.0,1.0,No,No,No,No,Yes
3,male,0,0,7.8958,23.0,2.0,No,No,No,No,No
1,male,0,0,27.7208,40.0,3.0,No,No,Yes,No,No
1,female,1,0,146.5208,45.0,3.0,Yes,No,No,No,Yes
3,female,0,0,7.75,19.0,1.0,No,No,No,No,Yes
2,male,0,0,10.5,66.0,2.0,No,No,Yes,No,No
1,male,1,0,82.1708,28.0,3.0,No,No,No,No,No
1,male,1,0,52.0,42.0,2.0,No,No,No,No,No
3,male,0,0,7.2292,20.0,3.0,No,No,No,No,Yes
3,male,0,0,8.05,21.0,2.0,No,No,No,No,No
3,female,2,0,18.0,18.0,2.0,No,No,No,No,No
3,female,1,0,11.2417,14.0,3.0,No,No,No,Yes,Yes
3,female,1,0,9.475,40.0,2.0,Yes,No,No,No,No
2,female,1,0,21.0,27.0,2.0,Yes,No,No,No,No
3,male,0,0,7.8958,28.0,3.0,No,No,No,No,No
2,female,1,2,41.5792,3.0,3.0,No,Yes,No,Yes,Yes
3,female,0,0,7.8792,19.0,1.0,No,No,No,No,Yes
3,male,0,0,8.05,29.0,2.0,No,No,No,No,No
3,male,1,0,15.5,20.0,1.0,No,No,No,No,No
3,female,0,0,7.75,24.0,1.0,No,Yes,No,No,Yes
3,male,2,0,21.6792,16.0,3.0,No,No,No,Yes,No
3,female,1,0,17.8,18.0,2.0,Yes,No,No,No,No
3,male,4,1,39.6875,7.0,2.0,No,No,No,Yes,No
3,male,0,0,7.8,21.0,2.0,No,No,No,No,No
1,female,1,0,76.7292,49.0,3.0,Yes,No,No,No,Yes
2,female,1,0,26.0,29.0,2.0,Yes,No,No,No,Yes
1,male,0,1,61.9792,64.0,2.0,No,No,No,No,No
1,male,0,0,35.5,45.0,2.0,No,No,No,No,Yes
2,female,0,0,10.5,21.0,2.0,No,No,No,No,Yes
3,male,0,0,7.2292,20.0,3.0,No,No,No,No,No
2,female,1,2,27.75,4.0,2.0,No,No,No,Yes,Yes
3,male,5,2,46.9,13.0,2.0,No,No,No,Yes,No
3,male,0,0,7.2292,22.0,3.0,No,No,Yes,No,No
1,female,0,0,80.0,38.0,2.0,No,No,No,No,Yes
1,male,1,0,83.475,45.0,2.0,No,No,No,No,No
3,male,3,2,27.9,5.0,2.0,No,No,No,Yes,No
1,male,0,0,27.7208,54.0,3.0,No,No,No,No,No
3,male,1,1,15.2458,7.0,3.0,No,No,No,Yes,Yes
2,female,0,0,10.5,29.0,2.0,Yes,No,No,No,Yes
3,male,0,0,8.1583,19.0,2.0,No,No,No,No,No
3,female,4,2,7.925,17.0,2.0,No,Yes,No,Yes,Yes
3,male,2,0,8.6625,26.0,2.0,No,No,No,No,No
2,male,0,0,10.5,32.0,2.0,No,No,No,No,No
3,female,5,2,46.9,16.0,2.0,No,No,No,Yes,No
2,male,0,0,73.5,21.0,2.0,No,No,No,No,No
3,male,1,0,14.4542,26.0,3.0,No,No,No,No,No
3,male,0,0,56.4958,32.0,2.0,No,No,No,No,Yes
3,male,0,0,7.65,25.0,2.0,No,No,No,No,No
3,male,0,0,7.8958,23.0,2.0,No,No,No,No,No
3,male,0,0,8.05,28.0,2.0,No,No,No,No,No
2,male,0,2,29.0,0.83,2.0,No,No,No,Yes,Yes
3,female,0,0,12.475,31.0,2.0,No,No,No,No,Yes
3,male,0,0,9.0,22.0,2.0,No,No,No,No,No
3,male,0,0,9.5,29.0,2.0,No,No,No,No,Yes
3,female,0,0,7.7875,31.0,1.0,No,No,No,No,Yes
1,male,0,0,47.1,31.0,2.0,No,No,No,No,No
2,female,0,0,10.5,17.0,2.0,No,No,No,Yes,Yes
3,female,3,0,15.85,33.0,2.0,Yes,No,No,No,Yes
3,male,1,3,34.375,16.0,2.0,No,No,No,Yes,No
3,male,0,0,8.05,20.0,2.0,No,No,No,No,No
1,female,3,2,263.0,23.0,2.0,No,No,No,No,Yes
3,male,0,0,8.05,24.0,2.0,No,No,No,No,No
3,male,0,0,8.05,29.0,2.0,No,No,No,No,No
3,male,0,0,7.8542,20.0,2.0,No,Yes,No,No,No
1,male,1,0,61.175,46.0,2.0,No,No,No,No,No
3,male,1,2,20.575,25.0,2.0,No,No,No,No,No
3,male,0,0,7.25,59.0,2.0,No,No,No,No,No
3,male,0,0,8.05,22.0,2.0,No,No,No,No,No
1,male,0,0,34.6542,71.0,3.0,No,No,No,No,No
1,male,0,1,63.3583,23.0,3.0,No,No,No,No,Yes
2,female,0,1,23.0,34.0,2.0,Yes,No,No,No,Yes
2,male,1,0,26.0,34.0,2.0,No,No,No,No,No
3,female,0,0,7.8958,28.0,2.0,No,No,No,No,No
3,male,0,0,7.8958,29.0,2.0,No,No,No,No,No
1,male,0,1,77.2875,21.0,2.0,No,No,No,No,No
3,male,0,0,8.6542,33.0,2.0,No,No,No,No,No
3,male,2,0,7.925,37.0,2.0,No,No,No,No,No
3,male,0,0,7.8958,28.0,2.0,No,No,No,No,No
3,female,0,0,7.65,21.0,2.0,No,No,No,No,Yes
3,male,0,0,7.775,29.0,2.0,No,No,No,No,Yes
3,male,0,0,7.8958,38.0,2.0,No,No,No,No,No
3,female,1,0,24.15,28.0,1.0,No,No,No,No,Yes
1,male,0,0,52.0,46.0,2.0,No,No,No,No,No
3,female,1,0,14.4542,16.0,3.0,No,No,No,Yes,No
3,male,0,0,8.05,22.0,2.0,No,No,No,No,No
3,female,1,0,9.825,20.0,2.0,No,No,No,No,No
3,female,0,0,14.4583,17.0,3.0,No,No,No,Yes,No
3,male,0,0,7.925,21.0,2.0,No,No,No,No,No
3,male,0,0,7.75,61.0,1.0,No,No,No,No,No
2,male,1,0,21.0,29.0,2.0,No,No,No,No,No
1,male,0,1,247.5208,24.0,3.0,No,No,No,No,No
3,female,4,2,31.275,2.0,2.0,No,No,No,Yes,No
2,male,2,0,73.5,20.0,2.0,No,No,No,No,No
3,male,0,0,8.05,19.0,2.0,No,No,No,No,No
2,male,1,0,30.0708,28.0,3.0,No,No,No,No,No
2,female,0,0,13.0,37.0,2.0,No,No,No,No,Yes
1,male,0,1,77.2875,54.0,2.0,No,No,No,No,No
3,male,1,0,11.2417,12.0,3.0,No,No,No,Yes,Yes
3,male,0,0,7.75,20.0,1.0,No,No,No,No,No
3,male,0,0,7.1417,24.0,2.0,No,No,No,No,Yes
3,female,1,1,22.3583,2.0,3.0,No,No,No,Yes,Yes
3,male,0,0,6.975,45.0,2.0,No,No,No,No,No
3,male,0,0,7.8958,33.0,3.0,No,Yes,No,No,No
3,male,0,0,7.05,20.0,2.0,No,No,No,No,No
3,female,1,0,14.5,47.0,2.0,Yes,No,No,No,No
2,female,1,0,26.0,37.0,2.0,Yes,No,No,No,Yes
2,male,0,0,13.0,25.0,2.0,No,No,No,No,No
2,male,0,0,15.0458,23.0,3.0,No,No,No,No,No
1,female,0,2,26.2833,19.0,2.0,No,No,No,No,Yes
1,male,1,0,53.1,37.0,2.0,No,No,No,No,No
3,male,0,0,9.2167,16.0,2.0,No,No,No,Yes,No
1,male,0,0,79.2,24.0,3.0,No,No,No,No,No
3,female,0,2,15.2458,40.0,3.0,Yes,No,No,No,No
3,female,0,0,7.75,22.0,2.0,No,No,No,No,Yes
3,female,1,0,15.85,24.0,2.0,Yes,No,No,No,Yes
3,male,0,0,6.75,19.0,1.0,No,No,No,No,No
2,male,0,0,11.5,17.0,2.0,No,Yes,No,Yes,No
2,male,1,1,36.75,19.0,2.0,No,No,No,No,No
3,male,0,0,7.7958,27.0,2.0,No,No,No,No,Yes
3,female,2,2,34.375,7.0,2.0,No,No,No,Yes,No
2,male,0,2,26.0,32.0,2.0,No,No,No,No,No
2,male,0,0,13.0,42.0,2.0,No,Yes,No,No,No
2,male,0,0,12.525,51.0,2.0,No,Yes,No,No,No
1,female,1,0,66.6,22.0,2.0,Yes,No,No,No,Yes
3,male,0,0,8.05,48.0,2.0,No,No,No,No,No
3,male,0,2,14.5,35.0,2.0,No,No,No,No,No
3,male,0,0,7.3125,27.0,2.0,No,No,No,No,No
1,male,0,1,61.3792,51.0,3.0,No,No,No,No,No
3,female,0,0,7.7333,17.0,1.0,No,No,No,Yes,Yes
3,male,0,0,8.05,30.0,2.0,No,No,No,No,No
3,male,0,0,8.6625,37.0,2.0,No,No,No,No,No
3,male,8,2,69.55,4.0,2.0,No,No,No,Yes,No
3,male,0,1,16.1,44.0,2.0,No,No,No,No,No
2,female,0,0,15.75,40.0,2.0,Yes,No,No,No,Yes
3,male,0,0,7.775,26.0,2.0,No,No,No,No,No
3,male,0,0,8.6625,17.0,2.0,No,No,No,Yes,No
3,male,4,1,39.6875,1.0,2.0,No,No,No,Yes,No
3,male,0,2,20.525,9.0,2.0,No,No,No,Yes,Yes
1,female,0,1,55.0,48.0,2.0,Yes,No,No,No,Yes
3,female,1,4,27.9,43.0,2.0,Yes,No,No,No,No
1,male,0,0,25.925,60.0,3.0,No,No,No,No,No
3,male,0,0,56.4958,24.0,2.0,No,No,No,No,No
1,male,0,0,33.5,61.0,,No,No,No,No,No
3,male,4,1,29.125,4.0,1.0,No,No,No,Yes,No
3,female,1,1,11.1333,1.0,2.0,No,No,No,Yes,Yes
3,male,0,0,7.925,21.0,2.0,No,No,No,No,No
1,male,0,0,30.6958,56.0,3.0,No,No,No,No,No
3,male,1,1,7.8542,18.0,2.0,No,No,No,No,No
3,male,3,1,25.4667,5.0,2.0,No,No,No,Yes,No
1,female,0,0,28.7125,50.0,3.0,No,No,No,No,No
2,male,0,0,13.0,30.0,2.0,No,No,No,No,No
3,male,0,0,0.0,36.0,2.0,No,No,No,No,No
3,female,8,2,69.55,7.0,2.0,No,No,No,Yes,No
2,male,0,0,15.05,39.0,3.0,No,No,No,No,No
3,male,4,2,31.3875,9.0,2.0,No,No,No,Yes,No
2,male,2,1,39.0,1.0,2.0,No,No,No,Yes,Yes
3,female,0,2,22.025,4.0,2.0,No,No,No,Yes,Yes
1,male,0,0,50.0,38.0,2.0,No,No,No,No,No
3,female,1,0,15.5,26.0,1.0,Yes,No,No,No,Yes
1,male,0,0,26.55,45.0,2.0,No,No,No,No,Yes
3,male,1,1,15.5,42.0,1.0,No,No,No,No,No
3,male,0,0,7.8958,36.0,2.0,No,No,No,No,No
2,female,0,0,13.0,21.0,2.0,Yes,No,No,No,Yes
2,male,0,0,13.0,19.0,2.0,No,No,No,No,No
3,female,1,0,7.8542,19.0,2.0,No,No,No,No,Yes
2,male,1,1,26.0,3.0,2.0,No,No,No,Yes,Yes
1,female,0,0,27.7208,44.0,3.0,Yes,No,No,No,Yes
1,female,0,0,146.5208,59.0,3.0,No,No,No,No,Yes
3,male,0,0,7.75,26.0,1.0,No,No,No,No,No
3,male,0,1,8.4042,42.0,2.0,No,Yes,No,No,No
3,female,0,0,7.75,21.0,1.0,No,No,No,No,Yes
2,female,0,0,13.0,24.0,2.0,No,No,No,No,No
3,male,0,0,9.5,28.0,2.0,No,No,No,No,No
3,male,8,2,69.55,16.0,2.0,No,No,No,Yes,No
3,male,0,0,6.4958,34.0,2.0,No,No,No,No,No
3,male,0,0,7.225,45.0,3.0,No,No,No,No,No
3,male,0,0,8.05,18.0,2.0,No,No,No,No,Yes
3,female,0,1,10.4625,2.0,2.0,No,No,No,Yes,No
3,male,1,0,15.85,32.0,2.0,No,No,No,No,No
3,male,0,0,18.7875,26.0,3.0,No,No,No,No,Yes
3,female,0,0,7.75,16.0,1.0,No,No,No,Yes,Yes
1,male,0,0,31.0,39.0,3.0,No,No,No,No,Yes
3,male,0,0,7.05,24.0,2.0,No,No,No,No,No
2,female,0,0,21.0,35.0,2.0,No,No,No,No,Yes
3,male,0,0,7.25,22.0,2.0,No,No,No,No,No
2,male,0,0,13.0,30.0,2.0,No,No,No,No,No
3,male,1,0,7.75,22.0,1.0,No,No,No,No,No
1,female,1,0,113.275,31.0,3.0,No,No,No,No,Yes
3,female,0,0,7.925,27.0,2.0,No,No,No,No,Yes
2,male,1,0,27.0,40.0,2.0,No,No,No,No,No
1,female,0,0,76.2917,36.0,3.0,No,No,No,No,Yes
2,male,0,0,10.5,30.0,2.0,No,No,No,No,No
3,male,0,0,8.05,20.0,2.0,No,No,No,No,Yes
2,male,0,0,13.0,29.0,2.0,No,No,No,No,No
3,male,0,0,8.05,40.0,2.0,No,No,No,No,No
3,male,0,0,7.8958,22.0,2.0,No,No,No,No,No
1,male,1,0,90.0,35.0,2.0,No,No,No,No,Yes
3,male,0,0,9.35,22.0,2.0,No,No,No,No,No
2,male,0,0,10.5,19.0,2.0,No,No,No,No,Yes
3,male,0,0,7.25,20.0,2.0,No,No,No,No,No
2,male,0,0,13.0,18.0,2.0,No,No,No,No,No
3,female,3,1,25.4667,12.0,2.0,No,No,No,Yes,No
1,female,1,0,83.475,35.0,2.0,Yes,No,No,No,Yes
3,male,0,0,7.775,29.0,2.0,No,No,No,No,No
2,male,0,0,13.5,30.0,2.0,No,No,No,No,No
3,female,4,2,31.3875,5.0,2.0,No,No,No,Yes,Yes
2,male,0,0,10.5,25.0,2.0,No,No,No,No,No
3,female,0,0,7.55,21.0,2.0,No,No,No,No,No
2,male,1,0,26.0,44.0,2.0,No,No,No,No,No
2,female,0,2,26.25,8.0,2.0,No,Yes,No,Yes,Yes
2,male,0,0,10.5,19.0,2.0,No,No,No,No,No
2,male,0,0,12.275,33.0,2.0,No,No,No,No,No
3,female,1,0,14.4542,19.0,3.0,No,No,No,No,No
3,female,1,0,15.5,18.0,1.0,No,No,No,No,Yes
2,male,0,0,10.5,29.0,2.0,No,Yes,No,No,No
3,male,0,0,7.125,22.0,2.0,No,No,No,No,No
3,male,0,0,7.225,30.0,3.0,No,No,No,No,No
1,male,2,0,90.0,44.0,2.0,No,Yes,No,No,No
3,female,0,0,7.775,25.0,2.0,No,No,No,No,No
2,female,0,2,14.5,24.0,2.0,Yes,No,No,No,Yes
1,male,1,1,52.5542,37.0,2.0,No,No,No,No,Yes
2,male,1,0,26.0,54.0,2.0,No,Yes,No,No,No
3,male,0,0,7.25,19.0,2.0,No,No,No,No,No
3,female,1,1,10.4625,29.0,2.0,Yes,No,No,No,No
1,male,0,0,26.55,62.0,2.0,No,No,No,No,No
3,male,1,0,16.1,30.0,2.0,No,No,No,No,No
3,female,0,2,20.2125,41.0,2.0,Yes,No,No,No,No
3,female,0,2,15.2458,27.0,3.0,Yes,No,No,No,Yes
1,female,0,0,79.2,37.0,3.0,Yes,No,No,No,Yes
1,female,0,0,86.5,30.0,2.0,No,No,No,No,Yes
1,female,0,0,512.3292,38.0,3.0,No,No,No,No,Yes
2,female,0,1,26.0,60.0,2.0,Yes,No,No,No,Yes
3,male,0,0,7.75,26.0,1.0,No,No,No,No,No
3,male,4,2,31.3875,3.0,2.0,No,No,No,Yes,Yes
1,male,1,1,79.65,52.0,2.0,No,No,No,No,No
1,male,0,0,0.0,45.0,2.0,No,No,No,No,No
3,female,0,0,7.75,23.0,1.0,No,No,No,No,No
2,male,0,0,10.5,36.0,2.0,No,No,No,No,No
3,male,4,1,39.6875,16.0,2.0,No,No,No,Yes,No
3,male,1,0,7.775,25.0,2.0,No,No,No,No,Yes
1,female,0,1,153.4625,59.0,2.0,Yes,No,No,No,Yes
1,female,0,0,135.6333,39.0,3.0,No,No,No,No,Yes
1,male,0,0,31.0,28.0,2.0,No,No,No,No,No
3,male,0,0,0.0,25.0,2.0,No,No,No,No,Yes
2,female,0,1,19.5,41.0,2.0,Yes,No,No,No,Yes
1,male,0,1,29.7,36.0,3.0,No,No,No,No,No
3,female,0,0,7.75,29.0,1.0,No,No,No,No,Yes
1,female,1,0,77.9583,62.0,3.0,No,Yes,No,No,Yes
3,female,0,0,7.75,45.0,2.0,No,No,No,No,No
2,male,0,0,0.0,18.0,,No,No,No,No,No
3,male,4,1,29.125,7.0,1.0,No,No,No,Yes,No
3,female,1,1,20.25,39.0,2.0,Yes,No,No,No,Yes
3,male,0,0,7.75,65.0,1.0,No,No,No,No,No
3,male,0,0,7.8542,28.0,2.0,No,No,No,No,No
3,male,0,0,9.5,16.0,2.0,No,No,No,Yes,No
3,male,0,0,8.05,18.0,2.0,No,No,No,No,Yes
1,male,0,0,26.0,57.0,2.0,No,No,No,No,No
3,male,0,0,8.6625,33.0,3.0,No,No,No,No,No
3,male,0,0,9.5,36.0,2.0,No,No,No,No,Yes
3,male,0,0,7.8958,22.0,2.0,No,No,No,No,No
2,male,0,0,13.0,41.0,2.0,No,No,No,No,Yes
3,female,0,0,7.75,22.0,1.0,No,No,No,No,Yes
1,female,0,0,78.85,26.0,2.0,No,No,No,No,Yes
1,female,1,0,91.0792,19.0,3.0,Yes,No,No,No,Yes
2,male,0,0,12.875,36.0,3.0,No,No,No,No,No
3,female,0,0,8.85,24.0,2.0,No,No,No,No,No
3,male,0,0,7.8958,24.0,2.0,No,No,No,No,No
1,male,0,0,27.7208,31.0,3.0,No,No,No,No,No
3,male,0,0,7.2292,35.0,3.0,No,No,No,No,No
1,female,1,2,151.55,2.0,2.0,No,No,No,Yes,No
1,male,0,0,30.5,47.0,2.0,No,No,No,No,Yes
1,female,0,1,247.5208,50.0,3.0,Yes,No,No,No,Yes
3,female,0,0,7.75,20.0,1.0,No,No,No,No,Yes
3,male,2,0,23.25,24.0,1.0,No,No,No,No,Yes
3,male,0,0,0.0,19.0,2.0,No,No,No,No,No
2,female,0,0,12.35,46.0,1.0,No,No,No,No,Yes
3,male,0,0,8.05,28.0,2.0,No,No,No,No,No
1,male,1,2,151.55,0.92,2.0,No,Yes,No,Yes,Yes
1,female,0,0,110.8833,42.0,3.0,No,No,No,No,Yes
1,female,1,0,108.9,22.0,3.0,Yes,No,No,No,Yes
2,male,1,0,24.0,30.0,3.0,No,No,No,No,No
1,female,0,0,56.9292,31.0,3.0,No,No,No,No,Yes
1,female,0,0,83.1583,24.0,3.0,No,No,No,No,Yes
1,female,2,2,262.375,18.0,3.0,No,No,No,No,Yes
2,female,1,1,26.0,26.0,2.0,Yes,No,No,No,No
3,male,0,0,7.8958,28.0,2.0,No,No,No,No,No
2,male,1,1,26.25,47.0,2.0,No,No,No,No,No
3,female,0,0,7.8542,26.0,2.0,No,No,No,No,Yes
2,female,1,0,26.0,24.0,2.0,Yes,No,No,No,Yes
2,male,0,0,14.0,54.0,2.0,No,Yes,No,No,No
1,female,0,2,164.8667,31.0,2.0,No,No,No,No,Yes
1,female,1,1,134.5,39.0,3.0,Yes,No,No,No,Yes
3,male,0,0,7.25,22.0,2.0,No,No,No,No,No
3,male,0,0,7.8958,27.0,2.0,No,No,No,No,No
2,female,0,0,12.35,30.0,1.0,No,No,No,No,Yes
